DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
11/01/2011,8,Baix Camp,431299,Riudoms,0.0,0.2,0.0,0.2,"Riudoms, Baix Camp, Catalunya",41.1390915,1.0519702
13/01/2011,37,Terra Alta,430483,Corbera d'Ebre,0.2,0.0,0.0,0.2,"Corbera d'Ebre, Terra Alta, Catalunya",41.0775819,0.476165
14/01/2011,2,Alt Empordà,170545,Colera,0.01,0.0,0.0,0.01,"Colera, Alt Empordà, Catalunya",42.4036867,3.1489254
16/01/2011,6,Anoia,81022,Igualada,0.0,0.02,0.0,0.02,"Igualada, Anoia, Catalunya",41.5790182,1.617346
16/01/2011,22,Montsià,430629,Freginals,0.0,0.0,0.0,0.0,"Freginals, Montsià, Catalunya",40.6715945,0.5187536
16/01/2011,19,Garrotxa,171498,Riudaura,0.0,0.43,0.0,0.43,"Riudaura, Garrotxa, Catalunya",42.1887348,2.4093804
16/01/2011,24,Osona,82802,Tavertet,0.0,0.02,0.0,0.02,"Tavertet, Osona, Catalunya",41.995547,2.4182542
18/01/2011,9,Baix Ebre,431554,Tortosa,0.0,0.0,0.0,0.0,"Tortosa, Baix Ebre, Catalunya",40.8110158,0.5209333
18/01/2011,2,Alt Empordà,170622,"Escala, l'",0.0,0.8,0.0,0.8,"Escala, l', Alt Empordà, Catalunya",42.1219358,3.1364235
20/01/2011,4,Alt Urgell,251850,Ribera d'Urgellet,0.0,0.9,0.0,0.9,"Ribera d'Urgellet, Alt Urgell, Catalunya",42.2861046,1.4187688
21/01/2011,40,Vallès Occidental,82055,Sant Cugat del Vallès,0.0,0.01,0.0,0.01,"Sant Cugat del Vallès, Vallès Occidental, Catalunya",41.4728432,2.0817809
22/01/2011,12,Baix Penedès,430901,"Montmell, el",1.18,0.0,0.0,1.18,"Montmell, el, Baix Penedès, Catalunya",41.3357772,1.4667169
22/01/2011,8,Baix Camp,430115,Almoster,0.0,3.08,0.0,3.08,"Almoster, Baix Camp, Catalunya",41.1960574,1.1096277
22/01/2011,2,Alt Empordà,171788,Sant Pere Pescador,0.0,0.0,0.0,0.0,"Sant Pere Pescador, Alt Empordà, Catalunya",42.1899836,3.0837479
23/01/2011,2,Alt Empordà,170470,Castelló d'Empúries,0.0,0.2,0.0,0.2,"Castelló d'Empúries, Alt Empordà, Catalunya",42.2591074,3.0746425
23/01/2011,24,Osona,81290,Muntanyola,0.0,0.04,0.0,0.04,"Muntanyola, Osona, Catalunya",41.8769342,2.1790836
24/01/2011,30,Ribera d'Ebre,431212,Rasquera,0.28,0.0,0.0,0.28,"Rasquera, Ribera d'Ebre, Catalunya",41.003625,0.5973403
24/01/2011,2,Alt Empordà,170307,Cabanes,0.4,0.1,0.0,0.5,"Cabanes, Alt Empordà, Catalunya",42.3087348,2.9764243
24/01/2011,20,Gironès,171637,Sant Gregori,0.44,0.0,0.0,0.44,"Sant Gregori, Gironès, Catalunya",41.9910304,2.7564765
24/01/2011,41,Vallès Oriental,80885,"Garriga, la",0.0,0.18,0.0,0.18,"Garriga, la, Vallès Oriental, Catalunya",41.688723,2.1654433
25/01/2011,19,Garrotxa,171498,Riudaura,0.0,0.07,0.0,0.07,"Riudaura, Garrotxa, Catalunya",42.1887348,2.4093804
25/01/2011,1,Alt Camp,430982,Nulles,0.5,0.15,0.0,0.65,"Nulles, Alt Camp, Catalunya",41.2493644,1.2957204
26/01/2011,39,Aran,252430,Vielha e Mijaran,0.7,9.8,0.0,10.5,"Vielha e Mijaran, Aran, Catalunya",42.7017572,0.7954744
26/01/2011,41,Vallès Oriental,89024,Vilanova del Vallès,0.02,0.0,0.0,0.02,"Vilanova del Vallès, Vallès Oriental, Catalunya",41.5536734,2.2862297
26/01/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,0.02,0.0,0.02,"Sant Climent Sescebes, Alt Empordà, Catalunya",42.3693761,2.9802226
26/01/2011,33,Segrià,251023,"Granja d'Escarp, la",0.0,0.06,0.0,0.06,"Granja d'Escarp, la, Segrià, Catalunya",41.4187382,0.3475385
26/01/2011,34,Selva,171501,Riudellots de la Selva,0.01,0.0,0.0,0.01,"Riudellots de la Selva, Selva, Catalunya",41.8954981,2.8022296
27/01/2011,26,Pallars Sobirà,252094,Sort,0.0,0.03,0.0,0.03,"Sort, Pallars Sobirà, Catalunya",42.4114509,1.1298362
27/01/2011,38,Urgell,259025,Sant Martí de Riucorb,0.0,1.0,1.5,1.0,"Sant Martí de Riucorb, Urgell, Catalunya",41.5550892,1.0798514
03/02/2011,11,Baix Llobregat,80765,Esparreguera,0.0,0.05,0.0,0.05,"Esparreguera, Baix Llobregat, Catalunya",41.5393249,1.8694549
03/02/2011,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.0,0.15,0.0,0.15,"Ametlla de Mar, l', Baix Ebre, Catalunya",40.905709,0.8097498
03/02/2011,38,Urgell,252173,Tàrrega,0.0,0.9,0.0,0.9,"Tàrrega, Urgell, Catalunya",41.6472761,1.1409115
03/02/2011,2,Alt Empordà,170669,Figueres,0.0,0.01,0.0,0.01,"Figueres, Alt Empordà, Catalunya",42.2666314,2.9638434
03/02/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.08,0.0,0.0,0.08,"Roca del Vallès, la, Vallès Oriental, Catalunya",41.5874771,2.3253831
04/02/2011,4,Alt Urgell,259062,"Valls d'Aguilar, les",0.0,0.32,0.0,0.32,"Valls d'Aguilar, les, Alt Urgell, Catalunya",42.2993872,1.2847177
04/02/2011,25,Pallars Jussà,252347,Tremp,0.0,3.86,4.43,3.86,"Tremp, Pallars Jussà, Catalunya",42.1669782,0.8950137
05/02/2011,6,Anoia,81764,Pujalt,0.3,0.0,0.0,0.3,"Pujalt, Anoia, Catalunya",41.7169947,1.4211325
06/02/2011,21,Maresme,81555,Palafolls,0.0,0.0,0.0,0.0,"Palafolls, Maresme, Catalunya",41.6673913,2.7499262
06/02/2011,26,Pallars Sobirà,252094,Sort,0.15,0.15,0.0,0.3,"Sort, Pallars Sobirà, Catalunya",42.4114509,1.1298362
07/02/2011,12,Baix Penedès,430167,"Arboç, l'",0.05,0.0,0.0,0.05,"Arboç, l', Baix Penedès, Catalunya",41.2736739,1.6004144
08/02/2011,38,Urgell,252424,Verdú,0.0,0.23,0.0,0.23,"Verdú, Urgell, Catalunya",41.6102775,1.143512
09/02/2011,10,Baix Empordà,172095,Vall-llobrega,0.14,0.0,0.0,0.14,"Vall-llobrega, Baix Empordà, Catalunya",41.8801015,3.1268338
09/02/2011,26,Pallars Sobirà,251266,Llavorsí,0.0,2.0,0.0,2.0,"Llavorsí, Pallars Sobirà, Catalunya",42.4957479,1.210519
09/02/2011,4,Alt Urgell,250306,"Pont de Bar, el",0.0,0.5,0.0,0.5,"Pont de Bar, el, Alt Urgell, Catalunya",42.3721732,1.6047661
10/02/2011,24,Osona,81516,Oristà,0.4,0.0,0.0,0.4,"Oristà, Osona, Catalunya",41.9284562,2.2443914
10/02/2011,7,Bages,80023,Aguilar de Segarra,0.0,0.13,0.0,0.13,"Aguilar de Segarra, Bages, Catalunya",41.7394902,1.6316676
10/02/2011,40,Vallès Occidental,81846,Rubí,0.0,0.27,0.0,0.27,"Rubí, Vallès Occidental, Catalunya",41.4936194,2.0319476
10/02/2011,6,Anoia,81614,Piera,0.05,0.0,0.0,0.05,"Piera, Anoia, Catalunya",41.5216923,1.7526335
10/02/2011,11,Baix Llobregat,81141,Martorell,0.0,0.02,0.9,0.02,"Martorell, Baix Llobregat, Catalunya",41.4769177,1.9283971
11/02/2011,6,Anoia,80608,Castellfollit de Riubregós,0.0,0.18,0.0,0.18,"Castellfollit de Riubregós, Anoia, Catalunya",41.7762237,1.4383714
11/02/2011,33,Segrià,252542,Vilanova de la Barca,0.0,0.9,0.2,0.9,"Vilanova de la Barca, Segrià, Catalunya",41.6895577,0.7288787
11/02/2011,31,Ripollès,171674,Sant Joan de les Abadesses,0.53,0.0,0.0,0.53,"Sant Joan de les Abadesses, Ripollès, Catalunya",42.233743,2.2854845
11/02/2011,20,Gironès,171557,Salt,0.09,0.26,0.05,0.35,"Salt, Gironès, Catalunya",41.9741672,2.7949886
11/02/2011,2,Alt Empordà,172109,Ventalló,0.0,0.06,0.0,0.06,"Ventalló, Alt Empordà, Catalunya",42.1491351,3.0268953
11/02/2011,26,Pallars Sobirà,250241,Alt Àneu,6.5,86.1,0.9,92.6,"Alt Àneu, Pallars Sobirà, Catalunya",42.6903552,1.0624833
